neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,price
21,1,1,0,0,55
19,0,1,0,1,200
219,4,1,160,0,195
24,0,2,27,0,150
44,54,2,64,1,75
29,5,1,0,0,60
30,21,4,193,1,290
38,0,13,0,1,150
43,8,2,247,1,484
8,105,3,302,2,68
8,6,2,21,1,250
14,2,3,45,1,215
6,1,1,0,0,45
56,10,7,247,1,200
53,38,3,199,1,649
12,8,6,5,1,190
7,1,15,52,1,250
4,34,2,10,0,69
21,3,1,0,0,35
2,63,2,18,1,99
79,8,1,164,0,49
2,11,7,0,0,60
79,49,1,90,0,50
160,3,3,327,1,150
22,30,1,362,0,200
20,5,3,43,1,450
6,14,2,275,1,95
13,3,7,44,1,225
20,48,6,43,0,92
1,0,4,270,1,295
15,134,3,338,1,160
6,4,1,0,0,80
19,0,2,0,0,100
23,1,3,0,1,159
15,56,2,184,0,64
12,0,1,0,0,99
28,0,1,0,0,150
67,145,2,35,1,150
59,45,3,59,0,79
12,0,2,14,1,200
68,1,2,0,1,295
73,0,2,32,2,20
24,33,3,241,1,195
11,23,2,0,1,200
14,1,3,0,1,134
6,12,3,285,1,159
1,1,1,179,2,320
86,8,4,290,0,34
1,14,1,0,1,225
12,0,7,0,1,115
6,13,1,170,0,45
21,0,1,0,0,65
12,2,7,352,1,300
4,27,2,33,0,95
7,0,1,0,1,197
7,1,1,337,1,450
11,3,2,0,1,150
7,5,2,4,1,172
28,15,3,5,1,350
6,4,2,63,0,100
19,27,1,0,0,180
6,30,6,21,0,45
15,0,15,0,1,65
28,5,1,362,1,500
1,1,5,0,1,140
6,1,7,0,0,40
25,93,3,86,1,200
7,0,1,0,1,120
49,0,1,19,0,80
21,5,1,7,0,38
95,70,4,51,1,120
31,8,2,89,2,65
20,6,2,49,1,250
7,4,3,108,1,639
46,0,2,0,0,120
8,11,3,0,0,100
29,2,2,0,0,99
6,3,1,163,0,55
164,41,1,363,1,99
39,76,1,301,0,60
53,3,3,10,0,120
105,190,3,329,0,45
73,0,7,171,1,140
2,1,3,365,0,145
12,3,1,0,0,35
10,2,3,0,1,250
18,5,1,31,1,75
29,138,3,315,0,50
7,11,1,177,0,129
7,6,7,359,0,54
12,24,2,282,1,250
6,8,2,6,1,150
21,295,2,210,0,60
38,7,1,129,1,275
8,319,1,251,0,88
6,54,1,45,0,100
12,15,15,242,0,45
12,1,2,0,1,100
6,27,2,364,1,450
7,0,2,0,1,170
45,67,1,0,0,70
2,12,5,0,1,130
6,216,2,321,1,99
2,0,1,0,0,80
79,31,3,345,0,55
26,0,3,0,0,125
45,0,10,2,0,60
30,1,3,14,0,50
1,0,1,345,0,350
12,0,2,0,1,450
2,1,1,0,0,50
79,88,2,65,1,170
6,0,10,0,0,45
21,33,1,1,0,38
16,18,3,0,0,60
12,106,4,25,0,74
12,4,3,0,0,53
25,0,2,0,1,199
73,38,2,306,0,65
12,0,10,365,0,70
9,80,2,199,1,299
34,9,1,0,1,115
26,0,2,254,1,800
19,0,7,295,1,195
12,0,3,0,1,170
213,68,2,247,1,85
81,4,2,324,0,45
12,42,3,20,0,70
20,21,2,0,1,130
0,22,1,7,0,45
21,5,1,179,0,70
30,17,1,30,0,55
6,36,1,29,0,150
19,10,3,0,1,135
24,0,1,0,0,50
11,153,4,246,1,300
18,0,1,365,0,100
6,4,3,109,0,100
83,42,2,118,0,55
152,17,1,0,0,45
29,2,4,0,1,135
124,12,1,179,0,56
6,10,5,0,0,47
9,22,3,128,1,170
19,32,3,72,0,75
28,0,1,0,1,200
36,18,2,61,1,300
86,52,1,219,1,122
56,35,2,144,0,100
15,1,2,0,0,60
9,5,4,0,1,125
13,89,1,0,1,175
39,0,2,0,1,300
2,72,2,0,0,81
16,1,1,0,0,70
6,8,3,0,1,135
6,93,5,0,1,85
27,9,3,0,1,198
60,18,3,72,1,180
19,3,1,0,0,70
21,30,1,284,1,149
